street,level,precip,Libur,day,ROAD_CLOSED
Pasar Kordon,4,1.134,0,Wednesday,0
Pasir Impun,3,1.134,0,Wednesday,0
Pasir Koja,2,1.134,0,Wednesday,0
Pasir Leutik,1,1.134,0,Wednesday,0
Pasirmuncang,3,1.134,0,Wednesday,0
Paskal HyperSquare,3,1.134,0,Wednesday,0
Pasteur,3,1.134,0,Wednesday,0
Pelajar Pejuang 45,2,1.134,0,Wednesday,0
Perintis,2,1.134,0,Wednesday,0
Permata Permai 14,4,1.134,0,Wednesday,0
Pesantren,3,1.134,0,Wednesday,0
Peta,3,1.134,0,Wednesday,0
Pluto Raya,2,1.134,0,Wednesday,0
Prabu Dimuntur,3,1.134,0,Wednesday,0
Prof Dr Ir Sutami,2,1.134,0,Wednesday,0
Prof Dr Surya Sumantri,2,1.134,0,Wednesday,0
Prof Eyckman,3,1.134,0,Wednesday,0
Prof Mochtar Kusumaatmadja,3,1.134,0,Wednesday,0
Pulo Laut,4,1.134,0,Wednesday,0
Pungkur,2,1.134,0,Wednesday,0
Puri Dago Selatan,4,1.134,0,Wednesday,0
Purnawarman,3,1.134,0,Wednesday,0
R A A Martanegara,3,1.134,0,Wednesday,0
RA Wiranatakusumah,3,1.134,0,Wednesday,0
Rajawali Timur,3,1.134,0,Wednesday,0
Rancabali,2,1.134,0,Wednesday,0
Rancabolang,2,1.134,0,Wednesday,0
Rancakendal,3,1.134,0,Wednesday,0
Rancamalang,2,1.134,0,Wednesday,0
Rancasawo,2,1.134,0,Wednesday,0
Reog,3,1.134,0,Wednesday,0
Sadakeling,3,1.134,0,Wednesday,0
Sadang,2,1.134,0,Wednesday,0
Salak,4,1.134,0,Wednesday,0
Salendro,4,1.134,0,Wednesday,0
Sampurna,3,1.134,0,Wednesday,0
Sariasih,4,1.134,0,Wednesday,0
Sarijadi,2,1.134,0,Wednesday,0
Sarimanah,3,1.134,0,Wednesday,0
Sariwangi,2,1.134,0,Wednesday,0
Sasak Gantung,4,1.134,0,Wednesday,0
Sederhana,3,1.134,0,Wednesday,0
Sekejati,3,1.134,0,Wednesday,0
Sekeloa,3,1.134,0,Wednesday,0
Sentot Alibasyah,3,1.134,0,Wednesday,0
Sersan Bajuri,3,1.134,0,Wednesday,0
Setrasari Plasa,2,1.134,0,Wednesday,0
Siliwangi,2,1.134,0,Wednesday,0
Sindang Sari,2,1.134,0,Wednesday,0
Sindang Sirna,3,1.134,0,Wednesday,0
Sirnamanah,4,1.134,0,Wednesday,0
Soekarno-Hatta,2,1.134,0,Wednesday,0
Soekarno-Hatta (Jalur Lambat),3,1.134,0,Wednesday,0
Solontongan,4,1.134,0,Wednesday,0
Sripohaci,4,1.134,0,Wednesday,0
Sriwijaya,3,1.134,0,Wednesday,0
Suka Resmi,3,1.134,0,Wednesday,0
Sukaati,3,1.134,0,Wednesday,0
Sukagalih,3,1.134,0,Wednesday,0
Sukahaji,1,1.134,0,Wednesday,0
Sukajadi,2,1.134,0,Wednesday,0
Sukamaju,3,1.134,0,Wednesday,0
Sukaraja,3,1.134,0,Wednesday,0
Sukawarna,3,1.134,0,Wednesday,0
Sulaksana,3,1.134,0,Wednesday,0
Sulanjana,3,1.134,0,Wednesday,0
Sultan Ageng Tirtayasa,4,1.134,0,Wednesday,0
Sultan Agung,3,1.134,0,Wednesday,0
Suniaraja,4,1.134,0,Wednesday,0
Surapati,2,1.134,0,Wednesday,0
Surapati (Jalur Lambat),4,1.134,0,Wednesday,0
Suryalaya,3,1.134,0,Wednesday,0
TPU Cikadut,3,1.134,0,Wednesday,0
Talaga Bodas,3,1.134,0,Wednesday,0
Taman Cibeunying Kidul,3,1.134,0,Wednesday,0
Taman Cibeunying Utara,3,1.134,0,Wednesday,0
Taman Holis Indah Kavling Industri,2,1.134,0,Wednesday,0
Taman Holis Raya,3,1.134,0,Wednesday,0
Taman Pramuka,4,1.134,0,Wednesday,0
